
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1200
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       2088
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       1328
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       7128
  TCP    0.0.0.0:7070           0.0.0.0:0              LISTENING       4244
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       3668
  TCP    0.0.0.0:23443          0.0.0.0:0              LISTENING       9140
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       796
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       924
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2312
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1900
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       2476
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       4216
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       724
  TCP    127.0.0.1:4173         0.0.0.0:0              LISTENING       24916
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       4272
  TCP    127.0.0.1:5939         0.0.0.0:0              LISTENING       4508
  TCP    127.0.0.1:11434        0.0.0.0:0              LISTENING       16056
  TCP    127.0.0.1:49878        0.0.0.0:0              LISTENING       7008
  TCP    127.0.0.1:49878        127.0.0.1:53659        ESTABLISHED     7008
  TCP    127.0.0.1:49878        127.0.0.1:53660        ESTABLISHED     7008
  TCP    127.0.0.1:49878        127.0.0.1:54070        ESTABLISHED     7008
  TCP    127.0.0.1:49878        127.0.0.1:54071        ESTABLISHED     7008
  TCP    127.0.0.1:49878        127.0.0.1:59689        ESTABLISHED     7008
  TCP    127.0.0.1:49878        127.0.0.1:59690        ESTABLISHED     7008
  TCP    127.0.0.1:49878        127.0.0.1:61647        ESTABLISHED     7008
  TCP    127.0.0.1:50647        0.0.0.0:0              LISTENING       6056
  TCP    127.0.0.1:50647        127.0.0.1:53662        ESTABLISHED     6056
  TCP    127.0.0.1:50647        127.0.0.1:55908        ESTABLISHED     6056
  TCP    127.0.0.1:50648        0.0.0.0:0              LISTENING       6056
  TCP    127.0.0.1:53658        0.0.0.0:0              LISTENING       6056
  TCP    127.0.0.1:53658        127.0.0.1:53661        ESTABLISHED     6056
  TCP    127.0.0.1:53659        127.0.0.1:49878        ESTABLISHED     6056
  TCP    127.0.0.1:53660        127.0.0.1:49878        ESTABLISHED     6056
  TCP    127.0.0.1:53661        127.0.0.1:53658        ESTABLISHED     7008
  TCP    127.0.0.1:53662        127.0.0.1:50647        ESTABLISHED     7008
  TCP    127.0.0.1:54070        127.0.0.1:49878        ESTABLISHED     6056
  TCP    127.0.0.1:54071        127.0.0.1:49878        ESTABLISHED     6056
  TCP    127.0.0.1:55908        127.0.0.1:50647        ESTABLISHED     13908
  TCP    127.0.0.1:57906        0.0.0.0:0              LISTENING       1440
  TCP    127.0.0.1:59365        127.0.0.1:61646        ESTABLISHED     6056
  TCP    127.0.0.1:59689        127.0.0.1:49878        ESTABLISHED     6056
  TCP    127.0.0.1:59690        127.0.0.1:49878        ESTABLISHED     6056
  TCP    127.0.0.1:60617        0.0.0.0:0              LISTENING       7008
  TCP    127.0.0.1:61646        0.0.0.0:0              LISTENING       7008
  TCP    127.0.0.1:61646        127.0.0.1:59365        ESTABLISHED     7008
  TCP    127.0.0.1:61647        127.0.0.1:49878        ESTABLISHED     6056
  TCP    127.0.0.1:64890        127.0.0.1:4173         TIME_WAIT       0
  TCP    172.26.208.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.68.104:139     0.0.0.0:0              LISTENING       4
  TCP    192.168.68.104:49204   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:49248   216.198.79.131:443     TIME_WAIT       0
  TCP    192.168.68.104:49249   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:49272   20.42.65.90:443        TIME_WAIT       0
  TCP    192.168.68.104:49369   150.171.74.13:443      TIME_WAIT       0
  TCP    192.168.68.104:49403   142.250.207.206:443    TIME_WAIT       0
  TCP    192.168.68.104:49633   79.127.170.195:443     TIME_WAIT       0
  TCP    192.168.68.104:49672   107.167.96.31:443      TIME_WAIT       0
  TCP    192.168.68.104:49877   20.190.144.165:443     TIME_WAIT       0
  TCP    192.168.68.104:49879   172.67.180.14:443      ESTABLISHED     10840
  TCP    192.168.68.104:49880   54.89.247.167:443      ESTABLISHED     10840
  TCP    192.168.68.104:49977   8.8.8.8:443            TIME_WAIT       0
  TCP    192.168.68.104:50286   172.67.180.14:443      TIME_WAIT       0
  TCP    192.168.68.104:50363   8.8.8.8:443            ESTABLISHED     23220
  TCP    192.168.68.104:50663   8.8.8.8:443            ESTABLISHED     10840
  TCP    192.168.68.104:50671   107.167.96.30:443      TIME_WAIT       0
  TCP    192.168.68.104:50690   8.8.8.8:443            ESTABLISHED     10840
  TCP    192.168.68.104:51157   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:51291   8.8.8.8:443            ESTABLISHED     23220
  TCP    192.168.68.104:51293   4.213.25.240:443       ESTABLISHED     4528
  TCP    192.168.68.104:51302   8.8.8.8:443            ESTABLISHED     10840
  TCP    192.168.68.104:51770   34.160.81.0:443        TIME_WAIT       0
  TCP    192.168.68.104:52193   104.18.22.222:443      ESTABLISHED     23220
  TCP    192.168.68.104:52331   35.201.127.49:443      ESTABLISHED     12828
  TCP    192.168.68.104:52401   192.178.211.95:443     TIME_WAIT       0
  TCP    192.168.68.104:52606   52.34.172.70:443       TIME_WAIT       0
  TCP    192.168.68.104:53207   52.88.139.235:443      TIME_WAIT       0
  TCP    192.168.68.104:53214   142.250.207.234:443    TIME_WAIT       0
  TCP    192.168.68.104:53215   142.250.205.202:443    TIME_WAIT       0
  TCP    192.168.68.104:53216   142.250.70.106:443     TIME_WAIT       0
  TCP    192.168.68.104:53274   142.251.156.119:443    LAST_ACK        10840
  TCP    192.168.68.104:53302   150.171.27.11:443      TIME_WAIT       0
  TCP    192.168.68.104:53688   142.250.67.163:443     TIME_WAIT       0
  TCP    192.168.68.104:53822   13.89.178.27:443       ESTABLISHED     23220
  TCP    192.168.68.104:54114   34.54.84.110:443       ESTABLISHED     6056
  TCP    192.168.68.104:54115   4.213.25.242:443       ESTABLISHED     14140
  TCP    192.168.68.104:54257   142.251.222.106:443    ESTABLISHED     12828
  TCP    192.168.68.104:54557   20.190.175.152:443     TIME_WAIT       0
  TCP    192.168.68.104:54584   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:54666   172.67.73.60:443       TIME_WAIT       0
  TCP    192.168.68.104:54673   8.8.8.8:443            TIME_WAIT       0
  TCP    192.168.68.104:54725   104.18.22.222:443      FIN_WAIT_1      23220
